publication_year	author	title	publisher
1745	Söderström, Andreas (1691-1765)	Guds nåda-barns oryggeliga förtröstan på Gud sin himmelska fader, förestäld, tå kongl. maj:ts troman och superintendens öfwer Hernösands sticht ... nu hos Gud ewinnerligen salig, herr doct. Nicolaus Sternel, hwilken, efter en högt berömlig	NA
1729	Svensson, Magnus (1683-1750)	Guds hugswalelse i bedröfwelsen, vtaf prophetens Esaiæ ord, cap. 41,10. genom Guds nåd förestält, tå then i lifstiden ädla och wälborna fru, Wendela Catharina Törnschöld nu hos Gud ewinnerlig salig, blef vti förnämt folks närwaro i Christberga	NA
1800	Fant, Johan Michael (1735-1813)	Wid konungens tromans, biskoppens öfwer Wexiö stift ... Ol. Wallqvists begrafning, i Norrköpings stads-kyrka den 15 maji 1800. Blef, på allernådigste befallning, detta tal hållet och till tryck lämnadt af Johan M. Fant. Linköping, tryckt i kongl. gymn. boktryckeriet, 1800	NA
1749	Ståhle, Andreas (1693-1750)	The trognas andelige strid här i werlden och himmelska kröning i ewigheten, vti en christelig likpredikan öfwer ... Franciscus Westerdal, mycet berömlig probst och kyrkioherda vti Gladhammar och Westrums församlingar, wid thes christ	NA
1817	Stenkula, Per Anders (1777-1838)	Tal hållet vid prosten och kyrkoherden ... Sam. Carl Wetterholms jordfästning i Furingstads kyrka den 15:de junii 1817, af mag:r P.A. Stenkula ... Linköping, Petre och Abrahamsson	NA
1742	Rhyzelius, Andreas Olavi (1677-1761)	Ewiga salighetenes wiszhet, genom vprichtig bekennelse och oryggelig beständighet, i anledning af texten Matt. 16:18, och then saliga dödas namn, til lärdom och tröst enfalleligen förestäld, när then mycket berömlige probsten öfwer Wikbolandet, och kyrckioherden wid Häradshammars och Jonsbergs församblingar ... nu hos Gud wiszt och ewigt salige, mag. Petrus Petri Wettersten, hwilken efter en christelig och loffwerdig lefwernes- och embetswandel, hade i herranom afsomnat den : 28 maji, år 1742, blef den 20 julii samma år, vnder sina åhörares allmänna suck- och tårar, samt en thesvtom högförnäm församblings närwarelse, vti Häradshammars kyrkio, i sit förrvt bestälda hwilorum begrafwen af Andr. Ol. Rhyzelio : ... Tryckt i Linköping, år 1742. [G. Björkegren.	NA
1818	Arendt, Martin Friedrich (1773-1823)	Scandinaviska paleografien, eller: Gamla nordiska skriften, till skapnad, bruk och utspridande. =(Rubr.)=/(Mart. Fredr. Arendt.) (Linköping, 1818; Petre och Abrahamsson. Fås endast af författaren.	NA
1748	Rhyzelius, Andreas Olavi (1677-1761)	En mödd och trött lärares salighet efter döden, bestående vti kroppens roliga hwilo i jorden och siälens ewiga boning i himmelen, när probsten öfwer Göstrings-härad och kyrkioherden wid Ekeby och Rinna församlingar ... nu salig, herr Johannes Zerl, som blefwit född i Stockholm then 14 decemb. år 1677, och saligen afsomnat hade then 16 septemb. år 1748; wardt, wid en mycket stor och anseenlig församling, begrafwen vti Ekeby-kyrkio, then 5 octobr. nästföljande; til : christeligt öfwerwägande enfalleligen af Ps. 4:9. förestäld af Andrea Olav. Rhyzelio ... Linköping tryckt hos Gabriel Biörckegren	NA
1782	Troil, Uno Von (1746-1803)	En christelig lik-predikan, i anledning af Ps. 28:7. Då kongl. maj:ts troman och biskop öfwer Linköpings stift ... nu hos Gud ewinnerligen salige, herr doctor Petrus Filenius, uti en förnäm och talrik församlings närwaro, i Linköpings	NA
1800	Duvell, Peter Fredrik (1749-1825)	Förslag til realiserande af nu i omlopp warande omkring 15 millioner riksdaler i riksens ständers riksgälds-contoirs obligationer; ingifwit i riksens ständers höglofliga hemliga utskott wid riksdagen i Norrköping år 1800. Af Pet. Fr	NA
1750	Gersonius, Jöns (1724-1796)	Aller-ödmiukaste ny-års lyckönskan til samtelige general tull-arrende-societetens högt-respective herrar fullmägtige, uppå then förste januarii, anno 1750. =(Rubr.)=/(Joan Gersonius.) (Linköping, trykt hos Gabriel Biörckegren.	NA
1780	NA	Tabell öfwer konungarne i Swerige, till minneshjelp för begynnare, utdragen af canc.r. Lagerbrings historia. =(Rubr.)= (Linköping, tryckt hos Biörckegrens enka, år 1780.	NA
1766	Sparschuch, Johan (1699-1781)	Durchläuchtigste furste och herre, Swea och Götha rikes allernådigste cronprints! =(Rubr.)=/(Johan Sparschuch.) =S. impr.=	NA
1766	Sparschuch, Johan (1699-1781)	Durchläuchtigste furste och herre, Svea och Götha rikes allernådigste cronprints! =(Rubr.)=/(Johan Sparschuch.) =S. impr.=	NA
1772	NA	Utkast till en latinsk grammatica, skrifven för de högvälborne grefvar, herrar Magnus och Gustav Harald Stenbock. =(Rubr.)= (Tryckt i Linköping, 1772. [Björkegrens änka.] 	NA
1743	Sparschuch, Johan (1699-1781)	Tå fridsens Gud osz täckts benåda, at fridsens-palm hos osz nu gror: tå landens folck med frögd får skåda wår frids-pant Adolph Friedrich stor: ... =(Text.)=/(Johannes Sparschuch.) (Linköping, tryckt åhr 1743. [Gabriel Biörckegren.	NA
1780	NA	En kort geographisk och historisk tabell till minneshjelp för begynnare sammandragen. =(Rubr.)= (Linköping, tryckt hos Biörckegrens enka, år 1780.	NA
1769	NA	Högwälborne herr baron, præsident och landshöfdinge, samt riddare af kongl. maj:ts nordstjerne orden! =(Rubr.)= (Tryckt i Linköping, 1769. [Björckegrens änka.] 	NA
1827	NA	Protocoll, hållet wid Götha canal-bolags extra sammankomst i Linköping den 8:de october 1827. =(Rubr.)= (Linköping, 1827; Axel Petre.	NA
1815	NA	Konungens befallningshafvandes i Östergöthland med Wadstena län, underdåniga betänkande och förslag till ny skjuts- inrättning i riket. Linköping, 1815; Petre och Abrahamsson	NA
1816	NA	Protocoll, hållet wid Götha canal-bolags extra sammankomst i Linköping, den 16 october 1815, jämte de af kongl. maj:t till särskilt undersökning i nåder förordnade committerades underdåniga berättelse om Götha canal. Linköping 1816	NA
1816	NA	Protocoll, hållet wid Götha canal-bolags ordinaire sammankomst i Linköping, d. 1:sta julii 1816. =(Rubr.)= (Linköping, Petre och Abrahamsson.	NA
1820	NA	Protocoll, hållit wid Götha canal-bolags ordinarie sammankomst i Linköping den 1:sta september 1820. =(Rubr.)= (Linköping, 1820; Petre och Abrahamsson.	NA
1822	NA	Protocoll, hållit vid Götha canal-bolags ordinarie sammankomst i Mariestad den 27 september 1822. =(Rubr.)= (Linköping, 1822; Petre och Abrahamson.	NA
1824	NA	Protocoll, hållet wid Götha canal-bolags ordinarie sammankomst i Linköping den 13:de september 1824. =(Rubr.)= ( [S.64:] Linköping, 1824; Axel Petre. [S. 71:] Linköping, 1825; Axel Petre.	NA
1826	NA	Protocoll, hållet wid Götha canal-bolags ordinarie sammankomst i Linköping den 17 augusti år 1826. =(Rubr.)= (Linköping, 1826; Axel Petre.	NA
1820	NA	Interims-taxa för seglationen på Götha canal. Linköping, 1820; Petre och Abrahamsson	NA
1825	NA	Taxa för seglationen på Götha canal. Linköping, 1825; Axel Petre	NA
1825	NA	Taxa för seglationen på Trollhätte canal samt Götha elf. Linköping, 1825; Axel Petre	NA
1825	NA	Underdånigt förslag till taxor för segelfarten på Götha canal, Trollhättan och Götha elf. På kongl. maj:ts allernådigste befallning till trycket befordradt. Jemte de hos kongl. directionen för segelfarten emellan Wenern och hafwet wid	NA
1805	NA	Försök till ändringar i reglementet på konungens nådigste befallning projecterade af general-inspecteuren för svenska infanteriet. Linköping Groth och Petre 1805	NA
1813	NA	Till Östergöthlands innevånare. =(Rubr.)= (Linköping, Groth och Petre.	NA
1814	NA	Stadgar för hushålls-sällskapet i Östergöthland. Linköping, 1814. Groth och Petre	NA
1818	NA	Stadgar för hushålls-sällskapet i Östergöthland. Linköping, 1818. Petre och Abrahamsson	NA
1814	NA	Utdrag af protocollet, hållet vid Östgötha kongl. hushållssällskaps förvaltningsutskotts sammanträde den 18 november 1814. =(Rubr.)= (Linköping, Groth och Petre.	NA
1815	NA	Underrättelse för till Östgötha kongl. hushållssällskap hörande hushållsgillen. =(Rubr.)= (Linköping, 1815; Petre och Abrahamsson.	NA
1818	NA	Allmän kungörelse. =(Rubr.)= (Linköping; Petre och Abrahamsson.	NA
1815	NA	Konungens befallningshafvandes i Östergöthland med Wadstena län, betänkande, till kongl. förvaltningen öfver sjöärenderne om allmänna skogswården. Linköping, 1815; Petre och Abrahamsson	NA
1773	NA	Auctions-ordning för Wadstena stad, författad af borgmästare och råd år 1771. Tryckt i Linköping, år 1773. [Björckegrens änka.	NA
1814	NA	Reglemente för förvaltningen af proviantmagazinerna vid Götha canal, faststäldt vid canaldirectionens allmänna sammankomst i Mariæstad, den 14 februarii 1814. Linköping 1814. Groth och Petre	NA
1791	NA	Handlingar, som innefatta de af kongl. maj:t i nåder slutne öfwerenskommelser med rusthållarne af för dettta Östgötha cavallerie regemente, hwilket nu utgör del af kongl. maj:ts lif-grenadiers corps, om wissa afgifter för ej mindre trossens	NA
1824	NA	Kungörelse. =(Rubr.)= (Linköping, 1824; Axel Petre.	NA
1810	NA	Protocoll vid Östgöta läns landtvärns beklädnings-committees sammanträden i Linköpings stad. =(Rubr.)= ( [S. 20:] Linköping, Groth och Petre 1810. [S. 27:] Linköping, 1811. Groth och Petre.	NA
1790	NA	Instruction för regements-trumslagaren och spelet. =(Rubr.) S. impr.=	NA
1794	NA	Instruction för under-officerare och corporaler, wid kongl. lif-grenadier-regementet. Linköping, 1794. Hos G.W. Londicer och Björckegrens enka	NA
1804	NA	Projecterade ändringar i reglementet, öfvade af kongl. lif- grenadier-regementet. Linköping, Groth och Petre. 1804	NA
1808	NA	Fällt-posters skyldigheter. =(Rubr.)= (Efter tryckt exemplar. Linköping, Groth och Petre 1808.	NA
1808	NA	Skildt-poster. =(Rubr.)= (Efter tryckt exemplar. Linköping, Groth och Petre 1808.	NA
1808	NA	Pik-posten. =(Rubr.)= (Efter tryckt exemplar. Linköping Groth och Petre 1808.	NA
1808	NA	Hörn-poster. =(Rubr.)= (Efter tryckt exemplar. Linköping, Groth och Petre 1808.	NA
1781	NA	Sammandrag af reglementet för arméens cavallerie. Linköping, tryckt hos Biörckegrens enka. =1-2. 1781.=	NA
1776	Stridsberg, Svante (1745-1824)	=Försök til sammandrag af 1776. års projecterade reglemente.= =Anon=. Linköping, tryckt hos Biörckegrens enka. =1-2. 1778.=	NA
1778	Stridsberg, Svante (1745-1824)	=Försök til sammandrag af 1776. års projecterade reglemente.= =Anon=. Linköping, tryckt hos Biörckegrens enka. =1-2. 1778.=	NA
1788	NA	Dalarnes frögde-qwäden wid början af 1788 års fälttog, uti fyra kämpa-wisor. Den första: Swerje med mannamod &c. Sjunges som: Bort alt hwad oro gör, bort alt hwad hjertat qwäljer &c. Den andra: Swearne fordomdags slogo up tält, &c. Sjunges	NA
1788	Kullman, Eric (1758-1804)	En liten wisa om grannas Kari, qwäden af en som intet kan sjunga, men hört melodien af: Swenska gåszar blå &c. =Anon.= På hög befallning tryckt i Linköpings boktryckerie 1788. [F. Schonberg och Biörckegrens änka.] Efter tryckt exemplar	NA
1788	Kullman, Eric (1758-1804)	En liten wisa om grannas Kari, qwäden af en som intet kan sjunga men hört melodien af: Swenska gåszar blå &c. =Anon.= På hög befalning, tryckt i Linköpings boktryckerie 1788, efter tryckt exemplar från Götheborg. [F. Schonberg och Biörckegrens	NA
1740	Ahlgrén, Anders (1702-1751)	Kort och tilförliteligit hushålsgrep, at förmera afwel, gödsel och spannemåhl, til en trediepart vti alla hushåll: samt om höns, gäs, kalkoner etc. Tryckt i Linköping 1740. Hos Peter Pilecan	NA
1810	Lodin, Johan Gustaf (1755-1815)	Bihang till Linköpings-bladet n:o 87 år 1810. =(Rubr.)=/(Joh. Gust. Lodin.) (Linköping. Groth och Petre.	NA
1757	Cneiff, Johan David (1722-1791)	Tanckar, huru en tilbörlig landt-hushållning skyndsammast synes kunna uphjelpas i Österbottn, wälment yppade af Johan David Cneiff ... och til trycket befordrade af riksens högloflige ständers manufactur-contoir. Linköping, tryckt hos	NA
1815	Silfversparre, Gustaf Ulric (1760-1829)	Anvisning till samtlige hemmans-brukare i Östergöthland, huru de med framtida vinst kunna bereda sig gagn af de flerfalldiga till saltpeters- alstring tjenliga ämnen, som vanligen förspillas./(G.U. Silfversparre.) Linköping, 1815; Petre	NA
1808	Tisell, Daniel Peter (1762-1843)	Något om foderväxter och circulationsbruk, i anledning af derom utkomne prisskrifter, af D.P. Tisell. Linköping, 1808. P.H. Groth och A. Petre	NA
1756	Vult Von Steijern, Gustaf (1729-1807)	Berättelse om lijn-skiötselen, omkring s:t Amand, Valenciennes, Marchiennes, samt andra orter i franska Flandern och Hennegau, framgifwen af G. v. Steijern, och til trycket befordrad af riksens höglofliga ständers manufactur-contoir	NA
1800	NA	Några sententier och böner, utaf Guds ord för enfaldigt folk och barn stälde. Linköping, i k.g. boktryckeriet 1800. [D.G. Björn.	NA
1823	NA	Några sententier och böner utaf Guds ord, för enfaldigt folk och barn. Linköping, Axel Petre, 1823	NA
1782	Toll, Hans (1716-1792)	Comminister Tolls kolningssätt. =(Rubr.)=/(Hans Toll.) (Linköping, tryckt hos Biörckegrens enka.	NA
1823	Sasse, Martin Isac (1775-1840)	Kort beskrifning om frukt-träns uppdragande och skötsel. Författad endast efter egne rön af M.J. Sasse. ... Linköping, 1823; Axel Petre	NA
1800	Hagelin, Magnus (1758-1828)	Samling af handlingar om nödige anstalter emot rofdjurens förökelse. =(Rubr.)=/(M. Hagelin.) (Linköping, D.G. Björn, 1800.	NA
1803	Norrelius, Nils (1752-1817)	Underrättelse för allmogen om skallgång./(Nils Norrelius.) Linköping, Groth. Och Petre. 1803	NA
1788	NA	Minnes-reglor wid lin-säde och lin-handtering. Linköping, tryckt hos Fredr. Schonberg och Björckegrens encka 1788	NA
1823	Kuylenstierna, Johan Carl (1769-1852)	Råd till Östgötha landtmän rörande deras wigtigaste hushålls-företag på anmodan af Östgötha k. hushålls-sällskaps förwaltnings-utskott, författade af J.C. Kuylenstjerna ... Linköping, 1823; Axel Petre	NA
1798	Nordell, Anders Lorentz (1750-1829)	Landtbruks-cateches eller Bond-practica. Sammandragen utur de bättre swenska hushållsskrifter, och grundad på nyare rön. Utgifwen af And. Nordell ... Linköping, D.G. Björn 1798	NA
1808	Nordell, Anders Lorentz (1750-1829)	Landtbruks-catheches eller Bond-practica. Sammandragen utur de bättre swenska hushållsskrifter, och grundad på nyare rön. Utgifwen af And. Nordell ... Andra upplagan. Linköping, Groth och Petre. 1808. På eget förlag, med utgifwarens skriftliga	NA
1822	Nordell, Anders Lorentz (1750-1829)	Landtbruks-catheches eller Bond-practica. Sammandragen utur de bättre swenska hushållsskrifter, och grundad på nyare rön. Utgifwen af And. Nordell ... Tredje upplagan. Linköping, 1822, Petre och Abrahamsson	NA
1796	NA	Om klöfwergräset, eller den stora röda wäplingen. Linköping, D.G. Björn, 1796	NA
1774	Lissander, Anders (1704-1786)	Beskrifning om jord-pärons plantering. Af Anders Lissander ... Efter begäran och tryckt orig. ifrån Stockholm, tryckt i Linköping, 1774. [Biörckegrens änka.	NA
1756	Lundgreen, Erich (1699-1771)	Vtdrag af handelsman och tolags-bokhållaren i Norköping Erich Lundgreens berättelse til N.N. om bij-skötslen. Linköping, tryckt hos Gabr. Björckegren	NA
1822	Hagelin, Magnus (1758-1828)	Utkast till en förbättrad hushållning med skogarne och jagten i Sverige, förnämligast med tillämpning af den i Frankrike och flere stater detta århundrades början omfattade förpaktnings-method, i afseende på krono-skogarnes skötsel	NA
1825	Kuylenstierna, Johan Carl (1769-1852)	Försök till bokhålleri för landtbrukare, af J.C.K. Linköping, 1825; Axel Petre	NA
1788	Hoffman, Nicolaus Ingewald	Naturliga oeconomie- och huhålds-reglor, samt hus-remedia eller läkedomar, som en försigtig hushållare med stor nytta och ringa omkostnad säkert bruka kan. =Anon=. Efter tryckt exemplar från Stockholm. Linköping, tryckt hos Fred. Schonberg	NA
1760	Dodsley, Robert (1703-1764)	Det menniskeliga lifvets rätta hushållning, eller Förnuftiga menniskjors lefnads reglor, öfversatt ifrån fransyskan, på svenska; af ett fruentimer på landet. =Anon=. Linköping, tryckt år 1760. [Björckegrens änka.	NA
1788	NA	Kort utdrag utur den på tyska språket utgifna doctor Fausti historia, innefattandes hans gudlösa lefnad, 24 åriga förbund med djäfwulen och förtwiflade, samt i högsta måtton faseliga ändalykt, Linköping, tryckt hos Fr. Schonberg och	NA
1787	NA	Lyckans flygande fana, eller En historia om tre fattige skräddare, som genom pelegrims-resa kommo omsider til wärdighet och stort wälstånd, hwars utgång är lustig at läsa. Uti Linköping och des boktryckerie. Tryckt år 1787. [F. Schonberg	NA
1800	Pauw, Cornelius De (1739-1799)	Philosophiska anmärkningar om americanerne. Sammandrag från fransyskan. =Anon=. Linköping, D.G. Björn. 1800	NA
1770	Fröling, Magnus S (1727-1797)	Index viae ad veritatem planissimae sev Specimen logicae reformatae. Avctore Magno Sam. Fröling. ... Cvm gratia et privilegio sacrae regiae majestatis Sveciae. Lincopiae typis Biörckegrenianis, a.o.r. MDCC.LXX	NA
1732	Rydelius, Andreas (1671-1738)	Anmerkningar til Christiani Democriti så kallada Demonstratio evangelica. Linköping. 1-2. 1732-36	NA
1736	Rydelius, Andreas (1671-1738)	Anmerkningar til Christiani Democriti så kallada Demonstratio evangelica. Linköping. 1-2. 1732-36	NA
1800	Spalding, Johann Joachim (1714-1804)	Människans bestämmelse, jämte några tillägg, af J.J. Spalding ... Öfwersättning. Tryckt och uplagd af D.G. Björn, 1800, i Linköping	NA
1790	Burén, Carl Daniel (1744-1838)	Tankar öfwer landt-bruket, bergs-rörelsen, manufacturerne och handlen, m.m. uti förre gustafianske tidehwarfwet, med tillämpadt äre-minne öfwer stamfadren herr Louis De Geer, såsom swenske näringarnes mägtige befordrare uti förra seculo. =Anon.= Linköping, tryckte hos Fredric Schonberg och Biörckegrens enka 1790	NA
1822	Baudrillart, Jacques Joseph (1774-1832)	Skogs-kalender för år 1811, eller Tafla af skogs-väsendets organisation och förvaltning i franska staterne af m. Baudrillart. ... Fri öfversättning i sammandrag af M. Hagelin. ... Linköping, 1822; Petre och Abrahamsson	NA
1812	NA	På bröllops-dagen vid Brunnby den 21 julii 1812 afsjöngos följande verser. (Rubr.) (Linköping, Groth och Petre.	NA
1798	Bodard De Tézay, Nicolas Marie Félix (1757-1823)	Arlequin, kejsare i månan	NA
1793	NA	Linköpings consistorii circulaire, n:o 272. =(Rubr.) S. impr.=	NA
1797	NA	Linköpings consistorii circulaire, n:o 303. =(Rubr.) S. impr.=	NA
1802	NA	Ämbetsbref. År 1802. N:o 10. =(Rubr.) S. impr.=	NA
1805	NA	Ämbetsbref år 1805. N:o 12. =(Rubr.) S. impr.=	NA
1820	NA	Ämbetsbref. År 1820 n:o 6. =(Rubr.)= (Linköping, 1820; Petre och Abrahamsson.	NA
1799	Svebilius, Olof (1624-1700)	Enfaldig förklaring öfwer d. Martin Lutheri lilla cateches, stäld genom spörsmål och swar, af Olao Svebilio ... Linköping 1799. Tryckt och uplagd af D.G. Björn, kongl. gymn. boktryckare	NA
1825	NA	Ämbetsbref. År 1825 n:o 10. =(Rubr.)= (Linköping, 1825 Axel Petre.	NA
1738	Kingo, Thomas (1634-1703)	Thomas Kingos Andelige siunge-chors första deel. Innehållandes 14 gudelige morgon- och afton-sånger, så ock the 7 k. Dawids boot-psalmer, sångewijs författade, tillika med någre tröstelige morgon- och afton-suckar: hwarjemte ock bifogat	NA
1758	Törner, Johan Johansson (1712-1790)	Utkast til föreläsningarna uti cosmographien./(Joh. J. Törner.) Linköping, tryckt hos afl. Biörckegrens enka	NA
1780	Törner, Johan Johansson (1712-1790)	Utkast til föreläsningarna uti cosmographien. / (Joh. J. Törner.	NA
1732	NA	Prästemötes handlingar, författade d. 7 septembris åhr 1732. =(Rubr.)= =S. impr.=	NA
1733	NA	Prästemötes handlingar af d. 6 sept. 1733. =(Rubr.)= =S. impr.=	NA
1735	NA	Prestemötes handlingar i Linköping d. 11 septembris 1735. =(Rubr.)= =S. impr.=	NA
1736	NA	Prestemötes handlingar i Linköping d. 9 septemb. år 1736. =(Rubr.)= =S. impr.=	NA
1737	NA	Präste-mötes handlingar vti Linköping, år 1737. den 8 september. =(Rubr.)= =S. impr.=	NA
1739	NA	Vtdrag af prestemötes handlingarna i Linköping then 5. septemb. år 1739. =(Rubr.) S. impr.=	NA
1742	NA	Vtdrag af prestemötes handlingarna i Linköping then 2 julii år 1742. =(Rubr.) S. impr.=	NA
1744	NA	Vtdrag af prestemötes handlingarna i Linköping then 6 septemb. år 1744. =(Rubr.) S. impr.=	NA
1745	NA	Vtdrag af prestemötes handlingarna i Linköping then 19 septembr. år 1745. =(Rubr.) S. impr.=	NA
1748	NA	Vtdrag af prästemötes handlingarna i Linköping then 8 septembr. år 1748. =(Rubr.) S. impr.=	NA
1749	NA	Vtdrag af prästemötes handlingarna i Linköping then 8 septembr. år 1749. =(Rubr.) S. impr.=	NA
1751	NA	Vtdrag vtur prästemöts handlingarna i Linköping then 5 septembr. år 1751. =(Rubr.) S. impr.=	NA
1753	NA	Vtdrag vtur Linköpings prästemötes handlingar af then 13 septembr. 1753. =(Rubr.) S. impr.=	NA
1754	NA	Vtdrag af prästemöts handlingarna i Linköping then 12 septembr. år 1754. =(Rubr.) S. impr.=	NA
1755	NA	Linköpings prästemötes handlingar then 18 septembr. 1755. =(Rubr.) S. impr.=	NA
1758	NA	Prästemötes handlingar i Linköping, th. 21. sept. å. 1758. =(Rubr.) S. impr.=	NA
1759	NA	Prästemötes handlingar i Linköping, th. 20. sept. å. 1759. =(Rubr.) S. impr.=	NA
1767	NA	Prästemöts-handlingar i Linköping den 22, 23 och 24 septemb. 1767. =(Rubr.) S. impr.=	NA
1784	NA	Linköpings consistorii circulaire, n:o 193. 1784 års prestmötes handlingar. =(Rubr.) S. impr.=	NA
1787	NA	Linköpings consistorii circulaire, n:o 208. 1787 års prest-mötes handlingar. =(Rubr.) S. impr.=	NA
1806	NA	Slutet af prestmötet i Linköping den 9 oktober 1805. Linköping, Groth och Petre 1806	NA
1806	NA	Parentationer och afskedstal hållna under prestmötet i Linköping år 1805. [Linköping, Groth och Petre 1806.	NA
1743	Hollatz, David (1704-1771)	Nådenes ordning til saligheten, efter Jesu härliga ewangelium, vti fyra samtal emellan en lärare och åhörare, enfaldeligen förestäld: =Anon=. Linköping, tryckt hos Gabriel Biörckegren 1743	NA
1816	Enelius, Anders Nicolaus (1744-1832)	Beskrifning öfwer det gamla Jerusalem; författad af A.N. Enelius. ... Linköping 1816; Petre och Abrahamsson	NA
1809	NA	Spaniens och Portugalls besittningar uti America. Statistisk afhandling. Linköping. Groth och Petre. =1. 1809.=	NA
1817	Widegren, Per David (1784-1849)	=Försök till en ny beskrifning öfver Östergöthland. Linköping. 1-4. 1817-29=	NA
1818	Widegren, Per David (1784-1849)	=Försök till en ny beskrifning öfver Östergöthland. Linköping. 1-4. 1817-29=	NA
1828	Widegren, Per David (1784-1849)	=Försök till en ny beskrifning öfver Östergöthland. Linköping. 1-4. 1817-29=	NA
1822	Hagelin, Magnus (1758-1828)	Försök till utförligare beskrifning öfver kronans oskattlagde jord i Östergöthland./(M. Hagelin.) Linköping, 1822; Petre och Abrahamsson	NA
1801	Gentz, Friedrich Von (1764-1832)	Drottning Maria i Skottland. Af Fredrich Gentz. Öfversättning. Linköping 1801, i kongl. gymnasii boktryckeriet	NA
1725	Hübner, Johann (1668-1731)	Joh. Hubneri Brevis introductio ad historiam politicam in usum incipientium adcurata. Ex consensu venerandi consistorii Lincopensis. Lincopiæ, impressa typis Petri Pilecani anno 1725	NA
1728	Hübner, Johann (1668-1731)	Joh. Hubneri Brevis introductio ad historiam politicam in usum incipientium adcurata. Cum consensu venerandi consistorii Lincopensis. Lincopiæ recusa typis Petri Pilecani. Anno 1728	NA
1827	Menzel, Karl Adolf (1784-1855)	Wår tids historia från Fredrik den andres död, af Karl Adolf Menzel, öfwersättning af Chr. Stenhammar. =Linköping. 1-2. 1827-29.=	Petre
1824	NA	Don Raphael del Riego's lefwerne och afrättning. Ett biographiskt utkast för historiens wänner. Öfwersättning. Linköping 1824; Axel Petre	NA
1803	NA	Minnes-bok öfwer Sveriges regenter. Linköping, tryckt hos Groth och Petre, 1803	NA
1751	Rhyzelius, Andreas Olavi (1677-1761)	Doct. Andreæ Ol. Rhyzelii, biskops öfwer Linköpings sticht, För minnet mycket lätta vttåg af swenska historien, vti tolf frågor innefattadt; men nu efter then tredie latinska vplagan öfwersatt på swensko. Til trycket befordradt, efter	NA
1751	Rhyzelius, Andreas Olavi (1677-1761)	Mnemonica historiæ sviogothicæ epitome, dodecade quæstionum inclusa, in nonnullis auctior & correctior,/(Andr. Ol. Rhyzelius) Lincopiæ tertiùm impressa M.DCC.LI. [G. Biörckegren.	NA
1821	Silverstolpe, Gustaf Abraham (1772-1824)	Historia öfver förhållandena mellan Sverige och Norrige ifrån dessa staters upkomst intil närvarande tid. Af G.A. Silverstolpe ... =(Pl.titelbl.)= =1-2. 1821-23=	NA
1823	Silverstolpe, Gustaf Abraham (1772-1824)	Historia öfver förhållandena mellan Sverige och Norrige ifrån dessa staters upkomst intil närvarande tid. Af G.A. Silverstolpe ... =(Pl.titelbl.)= =1-2. 1821-23=	NA
1826	Schenberg, Per (1701-1777)	Utförlig berättelse, om thet namnkunnoga Stånge-bro slag emellan konung Sigismundus och hertig Carl, hwilket stod wid Linköping i Östergöthland then 25 september år 1598, utur Joh. och Arn. Messenii, Loccenii och flera, genom trycket	NA
1795	NA	Protocoll, hållit på Drottningholms slott den 13 september 1794, då konungen högtideligen aflade sin tros-bekännelse. Linköping, tryckt hos D.G. Björn, 1795	NA
1810	Posselt, Ernst Ludwig (1763-1804)	Konung Gustaf III:s historia, af Ernst Ludv. Posselt; öfversättning. Linköping. Tryckt hos Groth & Petré. =1-2. 1810=	NA
1822	Stenhammar, Christian (1783-1866)	Åminnelse-tal öfver bergs-rådet och commendeuren af kongl. wasa-orden herr doctor Nils Dalberg, hållet på Linköpings kongl. gymnasii större lärosal, vid allmänt prestmöte den 13 september 1820 af Christian Stenhammar ... Linköping, 1822; Petre och Abrahamsson	NA
1810	NA	Om de nyare filosofers och illuminaters föregifna inflytande på fransyska revolutionen. Öfversättning. Linköping, 1810. Groth och Petre. På öfversättarens förlag	NA
1805	Genlis, Stéphanie Félicité (1746-1830)	Några drag utur Henric den IV:s lefverne. Af m:me de Genlis. Öfversättning af P.H. Groth. Linköping, Groth och Petre 1805	NA
1817	Pradt, Dominique Dufour De (1759-1837)	Historiska anteckningar rörande revolutionen i Spanien; af författaren till Congressen i Wien, &c. herr de Pradt ... Öfversättning. Linköping 1817, Petre och Abrahamsson	NA
1786	NA	Sanfärdig historisk berättelse om Bajazet den II. Bland turkiska kejsare den nionde, samt hans söner. Från tyskan öfwersatt. Linköping, tryckt hos Fredrich Schonberg, 1786	NA
1821	Uvarov, Sergej Semenovič (1786-1855)	Äreminne öfver Victor Moreau, namnkunnig hjelte och menniskovän, som, sedan hans båda ben, i striden för Europas sjelfständighet, blifvit afskutne, dog med lugn, den 3 sept 1813. Utgifvet både i Pettersburg och London. Öfversättning	NA
1823	Suneson, Carl Adam (1796-1845)	Äldre och nyare swenska historien i sammandrag. Utgifwen till tjenst för ungdomen. =Anon=. Linköping 1823; Axel Petre	NA
1788	Karl,  (1748-1818)	Hans kongl. höghet hertig Carls Bref til landshöfdingen öfwer Åbo län, dat. Lovisa den 27 october 1788. Linköping, tryckt hos Fredr. Schonberg och Björckegrens enka 1788. Efter tryckt exemplar från Stockholm	NA
